Tiempo,Carvajal_Sevillana_CO_pmm
1,1.10057
2,1.2496767924528303
3,1.3244959281437125
4,1.4218998809523808
5,1.3975600694444443
6,1.308778888888889
7,1.181703287671233
8,1.225257738095238
9,1.4767526851851853
10,1.4262802777777779
11,1.3922290476190475
12,1.3448679166666668
13,1.236647619047619
14,1.3103475630252102
15,1.3053398214285714
16,1.368944880952381
17,1.385993511904762
18,1.3751496969696968
19,0.957299741935484
20,
21,1.0173003311258277
22,1.3479094623655914
23,1.1935278472222222
24,1.1806970212765957
25,1.4284813924050634
26,1.5245305633802817
27,1.2687996527777778
28,1.1920306547619046
29,1.3341273214285714
30,1.4316274404761904
31,1.3714959060402685
32,1.018271958041958
33,1.088962380952381
34,1.109085628742515
35,1.2110135975609757
36,1.2399295070422534
37,1.1477455089820359
38,1.3325745833333333
39,1.3328092857142857
40,1.3094563571428572
41,1.1079033734939758
42,1.1527655688622755
43,1.1000130357142857
44,1.2912826506024098
45,1.1042478873239436
46,0.9827645833333334
47,0.9211419047619047
48,1.1190686904761904
49,1.2133840845070423
50,1.1567486904761903
51,1.22908125
52,1.176625892857143
