,Usaquen_CO_pmm
0,0.497675
1,0.38298
2,0.44105
3,0.37404000000000004
4,0.323875
5,0.37455499999999997
6,0.46676000000000006
7,0.426775
8,0.306785
9,0.290625
10,0.267445
11,0.25268999999999997
12,0.26315500000000003
13,0.26433
14,0.27088
15,0.27642500000000003
16,0.282275
17,0.29083000000000003
18,0.32708499999999996
19,0.378315
20,0.42279500000000003
21,0.38168
22,0.483425
23,0.481505
24,0.476765
25,0.3883
26,0.48871
27,0.38383
28,0.41311
29,0.44677
30,0.6983550000000001
31,0.67929
32,0.415215
33,0.45611
34,0.619585
35,0.598195
36,0.41086500000000004
37,0.464565
38,0.45847499999999997
39,0.51436
40,0.602735
41,0.700475
42,0.659595
43,0.649295
44,0.47003500000000004
45,0.451
46,0.36164
47,0.30767500000000003
48,0.290275
49,0.30595
50,0.340735
51,0.44749500000000003
52,0.5924
53,0.7272850000000001
54,0.669775
55,0.83
56,0.656845
57,0.600715
58,0.424645
59,0.349085
60,0.392455
61,0.37895
62,0.36287
63,0.362595
64,0.36436999999999997
65,0.39695
66,0.43064
67,0.453975
68,0.42730999999999997
69,0.631855
70,0.807485
71,0.686405
72,0.518985
73,0.5543049999999999
74,0.554835
75,0.53128
76,0.541335
77,0.78101
78,1.08982
79,1.2132399999999999
80,1.038315
81,0.831955
82,0.6368050000000001
83,0.42204
84,0.39119
85,0.38982
86,0.39794
87,0.38754
88,0.41098
89,0.39253
90,0.39951
91,0.39783
92,0.53011
93,0.39846
94,0.85218
95,1.22083
96,0.84315
97,0.66104
98,0.66439
99,0.60027
100,0.61673
101,0.5932
102,0.91601
103,1.07433
104,1.13825
105,0.93984
106,0.64509
107,0.34871
108,0.34364
109,0.36657
110,0.35961
111,0.37262
112,0.40675
113,0.40458
114,0.38919
115,0.38246
116,0.36614
117,0.34071
118,0.34299
119,0.33704
120,0.39183
121,0.40528
122,0.42724
123,0.55737
124,0.45982
125,0.51641
126,0.60219
127,0.50647
128,0.64192
129,0.74079
130,0.67242
131,0.55532
132,0.53691
133,0.55068
134,0.68925
135,0.60814
136,0.6085
137,0.47385
138,0.55774
139,0.72428
140,0.39916
141,0.36081
142,0.35918
143,0.31787
144,0.3277
145,0.44854
146,0.46207
147,0.36604
148,0.38753
149,0.50016
150,0.54559
151,0.64667
152,0.64922
153,0.55445
154,0.45009
155,0.34757
156,0.36482
157,0.34749
158,0.33966
159,0.40748
160,0.50449
161,0.39688
162,0.36037
163,0.40993
164,0.60842
165,0.67187
166,0.74183
167,0.67795
168,0.75124
169,0.64704
170,0.54073
171,0.50909
172,0.42427
173,0.63409
174,1.10787
175,1.29469
176,1.21472
177,0.60482
178,0.32917
179,0.32671
180,0.37196
181,0.38983
182,0.38118
183,0.39854
184,0.40434
185,0.54244
186,0.69983
187,0.65584
188,0.64723
189,0.66785
190,0.66311
191,0.57469
192,0.55207
193,0.51455
194,0.49239
195,0.42969
196,0.47311
197,0.67469
198,0.81093
199,0.77745
200,0.76049
201,1.01253
202,0.84686
203,0.47024
204,0.52781
205,0.516995
206,0.57324
207,0.35936
208,0.38229
209,0.48707
210,0.54293
211,0.48121
212,0.51771
213,0.4464
214,0.4511
215,0.4208
216,0.33221
217,0.31458
218,0.28817
219,0.25459
220,0.28057
221,0.34961
222,0.61602
223,0.61205
224,0.59906
225,0.56277
226,0.55196
227,0.42338
228,0.39649
229,0.35386
230,0.34536
231,0.36698
232,0.39107
233,0.46685
234,0.54925
235,0.56783
236,0.48744
237,0.43816
238,0.36902
239,0.42223
240,0.3758
241,0.29344
242,0.30637
243,0.36636
244,0.32277
245,0.44551
246,0.90277
247,0.70372
248,0.53854
249,0.55095
250,0.47976
251,0.36093
252,0.63315
253,0.51998
254,0.39573
255,0.35206
256,0.3949
257,0.40986
258,0.5123
259,0.4975
260,0.79922
261,0.48523
262,0.45408
263,0.45653
264,0.45988
265,0.32409
266,0.289
267,0.23127
268,0.3162
269,0.50823
270,0.75193
271,0.74251
272,0.55822
273,0.40055
274,0.52827
275,0.31371
276,0.38161
277,0.31403
278,0.27423
279,0.24247
280,0.28616
281,0.28937
282,0.24976
283,0.25869
284,0.24941
285,0.24738
286,0.24166
287,0.20895
288,0.22713
289,0.27836
290,0.33864
291,0.23923
292,0.1821
293,0.21278
294,0.31015
295,0.22517
296,0.18523
297,0.19037
298,0.18764
299,0.20354
300,0.21512
301,0.23458
302,0.25869
303,0.25613
304,0.48191
305,0.40327
306,0.45352
307,0.45471
308,0.27268
309,0.3261
310,0.31242
311,0.2308
312,0.22715
313,0.20258
314,0.17848
315,0.18647
316,0.17389
317,0.21632
318,0.29218
319,0.32354
320,0.28224
321,0.27138
322,0.28289
323,0.26927
324,0.26962
325,0.29094
326,0.2247
327,0.23816
328,0.26934
329,0.29028
330,0.25386
331,0.26067
332,0.2354
333,0.21325
334,0.17373
335,0.14703
336,0.17113
337,0.16394
338,0.14293
339,0.15932
340,0.15734
341,0.25006
342,0.4792
343,0.53708
344,0.28339
345,0.28211
346,0.24766
347,0.24809
348,0.22217
349,0.22646
350,0.2361
351,0.21156
352,0.2294
353,0.22932
354,0.1919
355,0.22272
356,0.22989
357,0.19861
358,0.17251
359,0.1751
360,0.14027
361,0.14935
362,0.16105
363,0.1594
364,0.14352
365,0.25461
366,0.67969
367,0.33415
368,0.32808
369,0.26401
370,0.26604
371,0.23564
372,0.22904
373,0.41883
374,0.22223
375,0.17949
376,0.18607
377,0.29243
378,0.30661
379,0.26021
380,0.29623
381,0.23398
382,0.22008
383,0.22069
384,0.16984
385,0.16684
386,0.15093
387,0.15381
388,0.1392
389,0.17559
390,0.34527
391,0.32934
392,0.33048
393,0.30214
394,0.21994
395,0.25137
396,0.22251
397,0.18848
398,0.20661
399,0.19503
400,0.22345
401,0.26042
402,0.2799
403,0.22664
404,0.24364
405,0.23652
406,0.21559
407,0.16884
408,0.17119
409,0.17632
410,0.14771
411,0.11005
412,0.13489
413,0.25407
414,0.59697
415,0.4299
416,0.37349
417,0.25472
418,0.3191
419,0.25293
420,0.24054
421,0.21347
422,0.24002
423,0.20849
424,0.23839
425,0.23939
426,0.31031
427,0.39101
428,0.67451
429,0.45629
430,0.28334
431,0.20913
432,0.16917
433,0.17614
434,0.14448
435,0.15061
436,0.14044
437,0.22286
438,0.37421
439,0.28628
440,0.26575
441,0.22466
442,0.23054
443,0.25123
444,0.2031
445,0.2213
446,0.17809
447,0.19899
448,0.18582
449,0.20079
450,0.18517
451,0.20785
452,0.21889
453,0.19039
