,Centro_de_Alto_Rendimiento_CO_pmm
451,0.551925
452,0.56951
453,0.530025
454,0.53291
455,0.6302650000000001
456,0.568635
457,0.513715
458,0.5620499999999999
459,0.5377700000000001
460,0.42591999999999997
461,0.40556
462,0.656165
463,0.808525
464,0.846155
465,0.491115
466,0.39680499999999996
467,0.25515
468,0.2284
469,0.27626
470,0.30981000000000003
471,0.35235
472,0.34214500000000003
473,0.29579
474,0.32818
475,0.51199
476,0.518715
477,0.46537
478,0.436615
479,0.463705
480,0.644695
481,0.59814
482,0.5789
483,0.55987
484,0.5714250000000001
485,0.6730149999999999
486,1.200455
487,1.6596
488,1.47077
489,0.8508800000000001
490,0.845655
491,0.457275
492,0.35303
493,0.35463
494,0.37765499999999996
495,
496,
497,0.514165
498,0.5328550000000001
499,0.68034
500,0.781515
501,0.64386
502,0.511275
503,0.51917
504,0.49904499999999996
505,0.46562000000000003
506,0.317355
507,0.28846
508,0.29158
509,0.41089
510,0.553145
511,0.8734999999999999
512,0.806745
513,0.676065
514,0.21911
515,0.20639
516,0.12323
517,0.14748
518,0.1457
519,0.13527
520,0.24734
521,0.40839
522,0.40216
523,0.40036
524,0.40109
525,0.45832
526,0.30233
527,0.27468
528,0.39158
529,0.45197
530,0.47728
531,0.51617
532,0.4681
533,0.58889
534,0.6819
535,0.45875
536,0.26197
537,0.21515
538,0.20153
539,0.23934
540,0.27420500000000003
541,1.02973
542,0.91936
543,1.06018
544,1.04061
545,0.7469
546,0.51024
547,0.58087
548,0.70543
549,0.63192
550,1.04217
551,1.33106
552,1.19135
553,1.00225
554,1.18031
555,0.91506
556,0.52348
557,0.67098
558,1.44413
559,2.29569
560,1.52795
561,0.55465
562,0.1852
563,0.2953
564,0.46869
565,0.59067
566,0.58978
567,0.68085
568,0.67211
569,0.47898
570,0.47178
571,0.61571
572,0.42342
573,0.34038
574,0.44973
575,0.66818
576,1.1433
577,0.83273
578,0.35935
579,0.32296
580,0.36467
581,0.82459
582,1.84255
583,2.41994
584,1.16169
585,0.36798
586,0.1237
587,0.10812
588,0.14859
589,0.26043
590,0.29111
591,0.30711
592,0.28898
593,0.35855
594,0.53441
595,0.71065
596,0.52596
597,0.78081
598,0.63848
599,0.4294
600,0.76881
601,0.61624
602,0.37579
603,0.39722
604,0.4446
605,0.63982
606,1.06134
607,2.14274
608,1.3129
609,0.27496
610,0.14086
611,0.26088
612,0.27684
613,0.36887
614,0.45731
615,0.54426
616,0.54471
617,0.61089
618,0.83222
619,1.10997
620,0.63164
621,1.21937
622,1.82287
623,1.59085
624,2.04449
625,1.32549
626,1.15236
627,1.20253
628,1.15144
629,1.24684
630,1.92171
631,2.13595
632,1.4914
633,1.03866
634,0.52589
635,0.41752
636,0.64708
637,0.96159
638,0.84457
639,0.79255
640,0.53189
641,0.46249
642,0.74308
643,1.0789
644,1.0154
645,0.52746
646,0.44595
647,0.76196
648,0.67795
649,0.73592
650,0.69426
651,0.44134
652,0.4024
653,0.71593
654,0.33892
655,0.49827
656,0.65166
657,-0.0414
658,0.05747
659,0.01475
