Tiempo,Centro_de_Alto_Rendimiento_CO_pmm
1,0.48475189873417723
2,0.5736652694610778
3,0.5157622754491018
4,0.44668373493975905
5,0.4992852760736196
6,0.5423024096385543
7,0.49021785714285715
8,0.46461011904761906
9,0.48569047619047623
10,0.6044589285714286
11,0.7155785714285715
12,0.7657832335329342
13,0.41451137724550896
14,0.6129634730538922
15,0.42124207317073165
16,0.4890766467065868
17,0.5528687116564417
18,0.5237553571428571
19,0.5253873493975904
20,0.4156812121212121
21,0.5216478787878788
22,0.49548292682926826
23,0.5837077380952381
24,0.40797142857142854
25,0.6513060606060607
26,0.35756646706586825
27,0.49747425149700597
28,0.3248451219512195
29,0.43603952095808385
30,0.45946167664670656
31,0.5064779761904762
32,0.5822315476190476
33,0.6685497005988024
34,0.5190107784431138
35,0.4545875
36,0.6058682926829267
37,0.5179868263473054
38,0.5244658682634731
39,0.5607424050632912
40,0.43835238095238094
41,0.7355520958083832
42,0.7398095238095238
43,0.6285469879518073
44,0.4720013245033112
45,0.5008482142857142
46,0.5883415662650602
47,0.8273785714285713
48,0.37839685534591194
49,0.3931934523809524
50,0.5697886904761905
51,0.47928452380952385
52,0.5389891666666667
53,0.35745
