carvajal21,centro21,kennedy21,ferias21,puentea21,tunal21,usaquen21
1.35601,0.3453,0.6471,0.5281,0.5044,0.7211,0.6128
1.77673,0.3369,0.6392,0.517,0.4627,0.7776,0.5255
1.70799,0.3719,0.5841,0.5415,0.4715,0.6395,0.5339
1.41359,0.3569,0.5137,0.3868,0.4082,0.5446,0.5461
1.09764,0.3594,0.5009,0.4393,0.3282,0.552,0.5601
0.82109,0.3857,0.6485,0.3029,0.3577,0.4359,0.4992
0.82336,0.332,1.0703,0.3714,0.4309,0.3542,0.4325
0.95784,0.346,1.1339,0.4654,0.4702,0.3769,0.5069
1.4128,0.3596,1.1793,0.6173,0.6349,0.4409,0.5628
2.49148,0.3799,2.3912,0.9001,1.0794,0.8208,0.74
2.78658,0.8132,1.951,1.0651,3.8313,0.7745,0.9048
3.21106,1.0704,1.7018,0.7687,3.8113,1.4514,0.7828
1.87925,0.5881,1.5845,0.4362,1.608,1.6851,0.5959
1.12939,0.4608,1.05,0.3768,1.0147,1.3201,0.5507
0.97826,0.3706,0.47732,0.3655,0.7851,1.0332,0.4785
0.89945,0.2924,0.5992,0.2763,0.5565,0.8387,0.3908
0.86087,,0.6117,0.2887,0.4563,0.701,0.3492
0.96004,1.12274,0.605,0.3437,0.497,0.6924,0.3276
0.96951,0.3166,0.6275,0.3701,0.5081,0.6772,0.4229
1.08297,0.2964,0.6169,0.3487,0.5167,0.6887,0.4097
0.88081,0.3124,0.6336,0.358,0.5715,0.7663,0.3906
0.89117,0.2652,0.764,0.221,0.6563,1.2353,0.2779
0.91117,0.3676,1.0981,0.3075,0.804,1.1635,0.4331
1.40988,0.7022,1.7048,0.7367,1.0732,1.0677,0.6569
1.15629,0.7355,1.5705,0.7586,0.9725,0.8678,0.677
0.8788,0.7907,0.9983,0.7406,0.9515,1.1839,0.5697
0.73476,0.6583,0.7885,0.6625,0.7906,1.1411,0.5466
0.58018,0.573,0.6332,0.4041,0.6136,0.9783,0.4501
0.60145,0.5457,0.5117,0.3515,0.4787,0.7165,0.5526
0.53508,0.3318,0.4556,0.3818,0.3967,0.6858,0.6688
0.58616,0.3339,0.5312,0.448,0.4539,0.6302,0.6599
0.54678,0.382,0.5941,0.4622,0.4689,0.5632,0.5756
0.56526,0.4682,0.7233,0.43,0.5772,0.5787,0.4898
0.7179,0.4864,0.9229,0.5745,1.1604,0.6619,0.918
0.83489,0.8122,1.3091,0.9797,1.5334,0.9355,1.4297
0.86468,1.3638,1.6943,0.8479,1.4971,0.9143,1.0767
0.74911,0.7719,1.6479,0.4836,1.7033,0.9841,0.5064
1.04221,0.7055,1.3024,0.2855,1.4173,0.7756,0.2991
0.92706,0.4167,0.6537,0.2549,0.6592,0.4691,0.2004
0.60119,0.18,0.5414,0.1479,0.4128,0.4901,0.1998
0.58117,0.1971,0.7245,0.2052,0.4275,0.5143,0.2503
0.52505,0.1789,0.6642,0.2058,0.7352,0.6288,0.25
0.65426,0.2019,0.6816,0.4632,0.7465,0.8324,0.2537
0.78121,0.278,0.619,0.4289,0.6934,0.8084,0.2572
0.73034,0.3884,0.6328,0.4912,0.5065,0.8488,0.5562
0.82048,0.6235,0.6907,0.6538,0.6184,0.8899,0.3577
1.04934,0.7262,0.8189,0.905,0.6426,0.9511,0.3388
0.94561,0.5527,1.0613,0.9758,0.6777,1.014,0.2919
,0.5076,1.0692,0.7756,0.9879,0.5413,0.5439
,0.5791,0.7878,0.519,0.7149,0.4884,1.0503
,0.4123,0.6679,0.4595,0.7231,0.8663,0.8703
,0.3315,0.5911,0.4332,0.6352,0.6971,0.6622
,0.3358,0.5421,0.482,0.5632,0.6163,0.4311
,0.4302,0.5519,0.4657,0.495,0.402,0.2567
,0.4274,0.5485,0.2233,0.4586,0.368,0.2488
,0.2995,0.7466,0.1752,0.541,0.3609,0.2297
,0.2092,0.8688,0.159,0.5054,0.3893,0.2343
,0.1846,1.1573,0.2562,0.6299,0.521,0.3161
,0.2754,1.0045,0.4907,1.3624,1.1766,0.5585
,0.686,1.089,0.5722,1.67,1.1985,0.4658
,0.4407,1.3025,0.4308,0.93,0.581,0.3756
,0.2475,0.8618,0.2478,0.4794,0.541,0.327
,0.1977,0.7229,0.2379,0.4297,0.5594,0.2898
,0.1958,0.7151,0.2196,0.4187,0.5387,0.2729
,0.1982,0.774,0.1508,0.4372,0.5544,0.2944
,0.1962,0.7317,0.1361,0.4906,0.6333,0.291
,0.2227,0.819,0.1093,0.4819,0.639,0.3009
,0.2185,0.8831,0.0882,0.4772,0.5691,0.2769
,0.2647,0.9399,0.1593,0.553,0.604,0.2991
,0.2958,1.2076,0.1828,0.6863,0.5872,0.2961
,0.3513,1.3122,0.3139,0.7549,0.5994,0.3156
,0.5635,1.2223,0.6223,0.8533,0.5842,0.3314
,0.4906,1.0035,0.4656,0.8247,0.702,0.6099
,0.4191,0.9158,0.3066,0.8602,0.8157,0.4074
,0.4598,0.6843,0.2563,0.6524,1.1466,0.5874
,0.3242,0.6607,0.1744,0.5749,0.7817,0.61
,0.2801,0.7293,0.2533,0.5481,0.5652,0.4438
,0.3469,0.8784,0.219,0.6321,0.4616,0.3719
,0.3765,0.7797,0.1897,0.6049,0.4274,0.3236
,0.3823,0.9095,0.1786,0.5763,0.5229,0.343
,0.3644,0.7738,0.237,0.76,0.604,0.2947
,0.4893,1.5678,0.3156,1.137,0.7464,0.4715
,0.7688,1.5194,0.825,1.5392,1.3415,0.7359
,1.0668,1.2676,0.505,1.6715,1.6154,0.6424
,0.6769,1.0206,0.3731,1.3076,1.6528,0.6146
,0.4651,1.0759,0.2769,0.9526,1.2739,0.3304
,0.2561,0.9257,0.1542,0.6974,0.5589,0.267
,0.2367,0.7599,0.1258,0.6205,0.4243,0.2817
,0.2448,0.5977,0.139,0.5585,0.4069,0.2261
,0.3856,0.6741,0.2178,0.6534,0.7261,0.2492
,0.4485,0.717,0.3686,0.7044,0.8923,0.2584
,0.5958,0.7285,0.4772,0.7054,0.7945,0.2865
,0.658,1.0796,0.484,0.7545,0.5433,0.2707
,0.3957,1.0262,0.2584,0.7796,0.5107,0.314
,0.4441,1.1533,0.1656,0.6831,0.55,0.2937
0.89831,0.31,1.0556,0.201,0.729,0.5977,0.2605
0.87534,0.26,1.0227,0.1575,0.5496,0.5849,0.315
0.81926,0.197,1.0079,0.137,0.5632,0.5125,0.2988
0.71063,0.2165,0.868,0.1133,0.4623,0.4742,0.2341
0.38996,0.1821,0.6195,0.0779,0.4065,0.4173,0.2277
0.36119,0.1375,0.5733,0.0743,0.412,0.3867,0.2281
0.39986,0.1337,0.5786,0.0843,0.3518,0.3781,0.2274
0.61934,0.1251,0.5728,0.0622,0.3482,0.3633,0.2398
0.82594,0.1291,0.6351,0.0765,0.4094,0.383,0.2523
1.23696,0.1551,0.7584,0.1016,0.48,0.5269,0.2521
2.30387,0.1799,0.9385,0.141,0.6194,1.3055,0.3816
1.25943,0.3234,1.2139,0.3615,0.9744,1.3193,0.589
1.93821,0.4272,1.1445,0.4246,0.9919,1.5844,0.5301
1.0637,0.3733,0.9723,0.2947,0.9518,1.4108,0.302
0.86055,0.1989,1.0215,0.1712,0.6373,0.6095,0.2519
0.49969,0.1877,0.6857,0.1925,0.4629,0.4317,0.2882
0.56312,0.2238,0.731,0.1989,0.4472,0.4706,0.3092
,0.1449,0.7049,0.1967,0.4927,0.4768,0.2693
,0.1626,0.6981,0.1287,0.5316,0.4905,0.2778
1.14247,0.1626,0.6716,0.115,0.457,0.4904,0.2608
1.0174,0.1611,0.6732,0.1327,0.4191,0.5123,0.2748
0.95826,0.1542,0.6855,0.0869,0.4564,0.5094,0.2806
0.84198,0.1581,0.8016,0.1296,0.4845,0.5725,0.2537
0.8898,0.1871,0.7637,0.1285,0.5613,0.5232,0.3125
0.66307,0.2116,0.8195,0.1327,0.5819,0.5568,0.3239
0.61574,0.1694,0.7917,0.1659,0.4842,0.545,0.3295
0.67664,0.1598,0.7392,0.1312,0.4639,0.58,0.2926
0.86761,0.1677,0.6702,0.1005,0.486,0.5252,0.2673
0.80091,0.1741,0.588,0.0523,0.4522,0.4684,0.262
0.79521,0.2006,0.4987,0.0607,0.4298,0.4477,0.2519
0.41873,0.2329,0.48,0.0475,0.4387,0.4182,0.2617
0.47313,0.2109,0.4875,0.0882,0.3844,0.4399,0.2574
0.45659,0.1883,0.4875,0.0717,0.4274,0.4734,0.2541
0.65557,0.1705,0.4844,0.0422,0.4369,0.554,0.2591
0.65996,0.1867,0.6153,0.0673,0.5666,0.5662,0.2804
1.86733,0.3417,1.0696,0.1649,0.7063,0.4884,0.2991
1.23213,0.3625,0.8391,0.138,0.9609,0.5414,0.3015
0.86796,0.3104,0.7284,0.0927,0.7406,0.4369,0.3421
0.84846,0.294,0.6365,0.1259,0.5092,0.4204,0.3126
0.67088,0.2404,0.5461,0.1217,0.4412,0.4805,0.2981
0.57864,0.163,0.5155,0.0704,0.3854,0.4638,0.2924
0.69843,0.1612,0.5067,0.0808,0.4,0.4702,0.3001
0.90532,0.1649,0.5475,0.0729,0.409,0.4556,0.313
0.87881,0.16,0.5471,0.0573,0.4068,0.4874,0.2934
0.63904,0.1576,0.5474,0.0535,0.4294,0.4703,0.2885
0.70466,0.1661,0.6017,0.0379,0.4423,0.513,0.2879
0.79286,0.1862,0.6757,0.0621,0.4506,0.5315,0.3331
0.8125,0.1705,0.7038,0.0849,0.42,0.5399,0.3275
0.66452,0.1926,0.6897,0.0885,0.4499,0.5386,0.3479
0.78025,0.1868,0.6429,0.127,0.4695,0.5161,0.3679
1.15828,0.1835,0.6266,0.0764,0.4906,0.4787,0.3292
0.65831,0.1728,0.6136,0.0874,0.4521,0.4512,0.3213
0.6109,0.224,0.56,0.0953,0.4335,0.4624,0.3152
0.55159,0.1904,0.5406,0.0734,0.5071,0.4444,0.3215
0.41041,0.1834,0.5599,0.0322,0.7505,0.4341,0.3222
0.30454,0.1595,0.5366,0.0306,0.4347,0.478,0.3147
0.52483,0.1649,0.5194,0.0402,0.3917,0.4181,0.3049
0.75967,0.1685,0.5746,0.0313,0.4749,0.4281,0.3088
1.65356,0.2221,0.8168,0.0741,0.6247,0.4972,0.3332
2.38195,0.2865,0.9438,0.1185,0.7494,0.4515,0.3921
1.62663,0.3616,0.8117,0.1078,0.5324,0.5356,0.4028
1.37489,0.2377,0.7444,0.1135,0.6103,0.4862,0.4418
1.08303,0.2089,0.6777,0.111,0.6262,0.445,0.3789
,0.1816,0.6441,0.1125,0.4803,0.5938,0.3305
1.07172,0.1677,0.6482,0.1094,0.455,0.4281,0.3283
0.92918,0.1718,0.646,0.1211,0.4684,0.4559,0.3343
0.98218,0.168,0.6411,0.0953,0.41,0.4595,0.3309
0.93308,0.176,0.585,0.1067,0.4718,0.4664,0.3235
0.85593,0.1695,0.5557,0.0813,0.458,0.4714,0.3251
