,Kennedy_CO_pmm
455,0.63626
456,0.47469
457,0.43733
458,0.471
459,0.42691
460,0.44038
461,0.51941
462,0.80234
463,0.70645
464,0.52858
465,0.46789
466,0.52157
467,0.57772
468,0.53889
469,0.5355
470,0.48305
471,0.56737
472,0.614
473,0.70445
474,0.70019
475,0.85437
476,0.62566
477,0.60249
478,0.74467
479,0.95401
480,0.58992
481,0.55234
482,0.42911
483,0.4837
484,0.54089
485,1.11459
486,1.66558
487,1.69342
488,2.16586
489,1.57662
490,0.66665
491,0.52529
492,0.57973
493,0.6298
494,0.63882
495,0.65674
496,0.66952
497,0.89508
498,1.21545
499,1.53429
500,1.55383
501,1.20782
502,1.00775
503,0.58539
504,0.83463
505,0.51108
506,0.5166
507,0.54365
508,0.64057
509,0.97939
510,1.23709
511,1.70048
512,1.14606
513,0.87591
514,0.7287
515,0.64645
516,0.66666
517,0.5829
518,0.59992
519,0.56476
520,0.66277
521,0.98407
522,1.14005
523,1.07301
524,1.0508
525,0.99679
526,0.72929
527,0.45627
528,0.32559
529,0.30661
530,0.34727
531,0.37887
532,0.50507
533,1.06278
534,1.49806
535,1.4211
536,0.90148
537,0.7461
538,0.70717
539,0.66898
540,0.59721
541,0.66236
542,0.67354
543,0.6637
544,0.67729
545,0.87158
546,1.01139
547,1.0288
548,0.90505
549,0.83528
550,0.73095
551,0.47776
552,0.35892
553,0.32783
554,0.32664
555,0.3619
556,0.4809
557,0.96377
558,1.21446
559,1.25578
560,0.94831
561,0.65221
562,0.52692
563,0.51946
564,0.55346
565,0.51792
566,0.5394
567,0.57235
568,0.62223
569,0.71601
570,1.02195
571,1.1128
572,1.03325
573,1.02387
574,0.9262
575,0.65012
576,0.44053
577,0.46165
578,0.46705
579,0.43749
580,0.88325
581,1.77744
582,2.18288
583,1.50603
584,0.71274
585,0.66131
586,0.55418
587,0.53889
588,0.53381
589,0.49492
590,0.40498
591,0.38316
592,0.40061
593,0.43161
594,0.64464
595,1.08178
596,0.98422
597,1.0785
598,0.7838
599,0.6896
600,0.65989
601,0.58331
602,0.53066
603,0.84005
604,0.74746
605,1.78881
606,1.72578
607,2.1076
608,1.69862
609,1.01293
610,0.54526
611,0.59293
612,0.57882
613,0.63858
614,0.53858
615,0.62229
616,0.63447
617,0.7084
618,0.75291
619,0.76837
620,0.83382
621,0.80015
622,0.82889
623,0.83513
624,0.6705
625,0.53684
626,0.53827
627,0.56974
628,0.62086
629,1.0126
630,0.9192
631,0.72596
632,0.88003
633,0.50745
634,0.38569
635,0.43043
636,0.41264
637,0.38685
638,0.36805
639,0.43182
640,0.39503
641,0.43356
642,0.60459
643,0.62344
644,0.75514
645,0.86326
646,0.85283
647,0.59786
648,0.69506
649,0.64979
650,0.50049
651,0.62255
652,0.59495
653,0.94275
654,1.54957
655,1.86459
656,1.88261
657,1.01797
658,0.60082
659,0.50282
660,0.51573
661,0.54704
662,0.66115
663,0.91112
664,1.12529
665,1.14186
666,0.5941
667,0.66721
668,1.20459
669,1.50432
670,0.88372
671,0.30002
672,0.28731
673,0.31159
674,0.48904
675,0.59154
676,0.77488
677,1.07029
678,1.69812
679,1.46264
680,0.93182
681,0.80602
682,0.89057
683,0.68131
684,0.65832
685,0.48387
686,0.4584
687,0.47159
688,0.49217
689,0.54834
690,1.24077
691,1.21455
692,2.22198
693,1.69262
694,1.29536
695,1.01419
696,0.73474
697,1.13786
698,0.92185
699,0.91528
700,0.95749
701,1.8354
702,1.81
703,1.93904
704,1.81368
705,1.34562
706,1.14087
707,0.77154
708,0.51429
709,0.40742
710,0.39628
711,0.40485
712,1.37272
713,0.704785
714,0.66269
715,0.75362
716,0.63421
717,0.79332
718,0.9681
719,1.16983
720,0.92613
721,0.89504
722,0.74531
723,0.65968
724,0.93049
725,1.64974
726,2.23802
727,2.72323
728,1.86789
729,1.23297
730,1.05362
731,0.67964
732,0.50698
733,0.39426
734,0.36861
735,0.3999
736,0.41663
737,0.47973
738,0.62409
739,0.76335
740,1.00707
741,0.78153
742,0.82729
743,0.73589
744,0.56811
745,0.55414
746,0.64921
747,0.73508
748,0.64416
749,1.36311
750,1.63838
751,1.40131
752,1.29686
753,0.65316
754,0.78193
755,0.54137
756,0.57754
757,0.50367
758,0.44293
759,0.43243
760,0.4791
761,0.74332
762,0.66635
763,0.81116
764,0.79155
765,0.57858
766,0.51197
767,0.64753
768,0.49575
769,0.44591
770,0.57377
771,0.77968
772,1.29438
773,1.50944
774,1.34278
775,1.29805
776,1.92421
777,0.93022
778,0.63797
779,0.5474
780,0.4997
781,0.46523
782,0.45758
783,0.52463
784,0.45948
785,0.52747
786,0.74582
787,0.81844
788,1.58422
789,1.1487
790,1.0705
791,0.8572
792,0.65174
793,0.56798
794,0.50123
795,0.5794
796,0.60503
797,0.88323
798,1.23491
799,0.97077
800,0.55397
801,0.58284
802,0.58313
803,0.54421
804,0.46099
805,0.50569
806,0.5315
807,0.53375
808,0.56113
809,0.50034
810,0.65484
811,0.72878
812,0.97425
813,0.94915
814,0.8215
815,0.42129
816,0.34291
817,0.29312
818,0.36625
819,0.44967
820,0.63384
821,1.21066
822,1.88643
823,2.76036
824,2.45266
825,1.06225
826,1.04938
827,0.54941
828,0.46313
829,0.44339
830,0.36212
831,0.38759
832,0.43442
833,0.55642
834,0.62688
835,0.82934
836,1.15116
837,1.05978
838,1.13431
839,0.77707
840,0.61682
841,0.49424
842,0.49713
843,0.74677
844,0.66518
845,1.40068
846,1.48046
847,1.79061
848,1.40942
849,0.94648
850,0.75586
851,0.80154
852,0.91549
853,0.71363
854,0.683535
855,0.49497
856,0.51341
857,0.53284
858,0.75636
859,1.02182
860,1.23844
861,1.08636
862,1.3637
863,0.93978
864,0.42452
865,0.34923
866,0.55258
867,0.75139
868,1.13014
869,2.26503
870,3.35916
871,2.14697
872,1.54831
873,0.76405
874,0.72881
875,0.69665
876,0.7020299999999999
877,0.655915
878,0.980795
879,0.59256
880,0.623865
881,0.6854750000000001
882,0.58886
883,0.96659
884,0.79571
885,0.727
886,1.16448
887,0.93791
888,0.52659
889,0.51249
890,0.48128
891,0.42306
892,1.11621
893,1.28006
894,1.24556
895,1.3373
896,1.22698
897,0.53237
898,0.34348
899,0.26985
900,0.26827
901,0.279
902,0.26492
903,0.25596
904,0.23951
905,0.3052
906,0.38417
907,0.46321
908,0.54603
909,0.50026
910,0.65358
911,0.58851
912,0.42009
913,0.31332
914,0.32866
915,0.34077
916,0.48787
917,0.89628
918,1.88741
919,1.49598
920,0.75479
921,0.6921
922,0.66671
923,0.41772
924,0.41558
925,0.43398
926,0.39469
927,0.41223
928,0.41452
929,0.51507
930,0.63143
931,0.77513
932,1.13186
933,1.08959
934,0.84359
935,0.58958
936,0.57164
937,0.37559
938,0.27749
939,0.40373
940,0.51392
941,0.73602
942,1.34322
943,1.58317
944,1.16349
945,0.85432
946,0.57683
947,0.61356
948,0.56856
949,0.45424
950,0.38706
951,0.36531
952,0.40769
953,0.46154
954,0.59974
955,0.87483
956,1.05473
