Carvajal19,Centro19,Kennedy19,Ferias19,PuenteA19,Tunal19,Usaquen19
1.16314,0.42981,0.64245,0.27628,0.22625,0.7225,0.451
0.87415,0.4253,0.57596,0.25673,0.2855,0.72497,0.36164
0.5216,0.54304,0.40989,0.22871,0.22207,0.67181,0.30768
0.58845,0.52682,0.44798,0.24496,0.21243,0.64133,0.29028
0.78369,0.54394,0.45975,0.23042,0.30435,0.64725,0.30595
0.49751,0.55899,0.44284,0.21358,0.27756,0.60385,0.34074
0.44403,0.49174,0.4182,0.203,0.1411,0.57993,0.4475
0.69255,0.48759,0.47492,0.19107,0.13625,0.61902,0.5924
1.25337,0.49371,0.62121,0.2057,0.27541,0.68483,0.72729
1.48883,0.49544,0.85034,0.27532,0.39937,0.67867,0.66978
1.56132,0.64107,1.01936,0.38421,0.58354,0.68774,0.83
1.20289,0.59525,0.67257,0.31971,0.38976,0.70544,0.65685
0.98096,0.41689,0.52557,0.28858,0.32904,0.73325,0.60072
0.92905,0.43896,0.64426,0.25795,0.26035,0.71616,0.42465
0.89194,0.4284,0.4411,0.24773,0.31219,0.71991,0.34909
0.89044,0.4105,0.57872,0.27791,0.29339,0.74763,0.39246
0.94139,0.45494,0.48479,0.27498,0.27145,0.74303,0.37895
0.79416,0.45962,0.46952,0.25469,0.32023,0.71763,0.36287
0.91836,0.41613,0.53234,0.2617,0.32166,0.74222,0.3626
1.02339,0.42589,0.5253,0.26868,0.32721,0.77597,0.36437
1.50219,0.47916,0.7702,0.37167,0.42466,0.91683,0.39695
1.93014,0.56259,1.05063,0.41958,0.56945,1.08519,0.43064
1.66724,0.6075,0.83025,0.43667,0.48568,0.90758,0.45398
1.34331,0.62018,0.76444,0.44522,0.40817,0.80671,0.42731
1.64885,0.65926,0.84598,0.44174,0.62416,0.83456,0.63186
1.32004,0.6529,0.94934,0.42033,0.5971,0.95523,0.80749
1.46499,0.73737,0.79953,0.40239,0.60234,0.93566,0.68641
1.45746,0.71226,0.50357,0.39846,0.4461,1.01014,0.51899
0.77328,0.75402,0.43147,0.35494,0.28954,0.85756,0.55431
0.97364,0.82251,0.52533,0.34034,0.28998,0.95878,0.55484
0.75622,0.80711,0.48783,0.37449,0.43629,0.89883,0.53128
0.88402,0.83379,0.61699,0.37053,0.64623,0.94435,0.54134
0.94123,0.84883,0.99744,0.49066,1.03486,1.05167,0.78101
2.31634,1.09325,1.31014,0.84934,1.38581,1.28735,1.08982
1.52344,1.45525,1.56294,0.92802,1.09909,0.87624,1.21324
1.13008,1.08545,0.85894,0.6177,1.41389,0.69021,1.03832
1.31092,0.7769,1.02479,0.46023,0.90061,0.72217,0.83196
1.06864,0.62655,0.89345,0.34963,0.72687,0.76463,0.63681
0.97723,0.62541,0.51109,0.25235,0.344,0.74951,0.42204
0.73931,0.77932,0.4381,0.24531,0.23566,0.69278,0.39119
0.7185,0.92212,0.44773,0.22477,0.28604,1.82466,0.38982
0.84861,0.94527,0.42691,0.2194,0.29422,0.36086,0.39794
0.90794,0.90406,0.47217,0.23713,0.4037,0.33061,0.38754
1.10974,0.85674,0.57927,0.26462,0.3933,0.41739,0.41098
1.27714,0.85857,0.84215,0.44816,0.64373,0.45506,0.39253
1.76667,0.7291,0.91631,0.56068,0.94123,0.45419,0.39951
1.62023,0.83508,0.90833,0.5254,0.93253,0.47488,0.39783
1.58029,1.30023,0.92344,0.72553,0.7817,0.52775,0.53011
1.31452,1.59871,0.91916,0.86061,0.69827,0.54834,0.39846
1.61688,1.94034,1.33625,1.13245,0.6557,0.41416,0.85218
1.51971,1.76736,1.21874,0.8692,0.56017,0.44035,1.22083
1.32929,1.84913,0.66279,0.56322,0.97857,0.42219,0.84315
