Tiempo,Tunal_CO_pmm
1,0.6814305714285714
2,0.7719829166666666
3,0.6696747967479675
4,0.8033928571428571
5,0.7131446540880503
6,1.1458683333333333
7,0.5921106547619048
8,0.6261904761904762
9,0.5892297023809524
10,1.2137445833333333
11,0.6905107142857142
12,0.8602395209580838
13,0.6179761904761906
14,0.9297317708333334
15,0.963912105263158
16,1.1915190243902438
17,1.2508142307692307
18,0.8799365
19,1.0845785416666667
20,
21,
22,0.48490056451612906
23,1.0542551351351352
24,0.32758305084745765
25,0.26451840277777783
26,0.8683539285714287
27,0.6553056790123457
28,0.526079705882353
29,
30,
31,0.6357379166666667
32,0.6175045833333334
33,
34,
35,0.4991666666666667
36,0.5791298611111111
37,0.9329308333333334
38,
39,
40,0.5688844166666667
41,0.8618033333333334
42,
43,
44,0.6551086021505377
45,0.347381875
46,0.7743917964071857
47,0.6795151785714286
48,0.7684
49,0.7294766666666667
50,0.8185305594405594
51,0.7296764880952381
52,0.6753247590361445
