,Centro_de_Alto_Rendimiento_CO_pmm
0,0.6388
1,0.7706
2,0.8015
3,0.7919
4,0.7903
5,0.668
6,0.4685
7,0.4761
8,0.138
9,0.1204
10,0.1157
11,0.1247
12,0.1294
13,0.1427
14,0.1525
15,0.1338
16,0.1278
17,0.1963
18,0.2422
19,0.2364
20,0.1963
21,0.219
22,0.3106
23,0.3124
24,0.2921
25,0.1894
26,0.1713
27,0.2605
28,0.262
29,0.2747
30,0.6943
31,0.7669
32,0.4882
33,0.213
34,0.2452
35,0.233
36,0.2339
37,0.237
38,0.2012
39,0.2043
40,0.2396
41,0.5087
42,0.6426
43,0.8651
44,0.6626
45,0.6994
46,0.5591
47,0.8338
48,0.9298
49,0.8217
50,0.6692
51,0.5529
52,0.3207
53,0.3631
54,0.5061
55,0.4975
56,0.4347
57,0.423
58,0.3336
59,0.2194
60,0.2231
61,0.2175
62,0.2223
63,0.2114
64,0.2196
65,0.2477
66,0.3354
67,0.2668
68,0.2616
69,0.2657
70,0.312
71,0.2611
72,0.3485
73,0.3299
74,0.2808
75,0.322
76,0.3055
77,0.6282
78,0.8585
79,0.5821
80,0.5118
81,0.6108
82,0.3869
83,0.211
84,0.1763
85,0.1837
86,0.2234
87,0.2365
88,0.2784
89,0.4736
90,0.4141
91,0.353
92,0.3453
93,0.3369
94,0.3719
95,0.3569
96,0.3594
97,0.3857
98,0.332
99,0.346
100,0.3596
101,0.3799
102,0.8132
103,1.0704
104,0.5881
105,0.4608
106,0.3706
107,0.2924
108,
109,1.122735
110,0.3166
111,0.2964
112,0.3124
113,0.2652
114,0.3676
115,0.7022
116,0.7355
117,0.7907
118,0.6583
119,0.573
120,0.5457
121,0.3318
122,0.3339
123,0.382
124,0.4682
125,0.4864
126,0.8122
127,1.3638
128,0.7719
129,0.7055
130,0.4167
131,0.18
132,0.1971
133,0.1789
134,0.2019
135,0.278
136,0.3884
137,0.6235
138,0.7262
139,0.5527
140,0.5076
141,0.5791
142,0.4123
143,0.3315
144,0.3358
145,0.4302
146,0.4274
147,0.2995
148,0.2092
149,0.1846
150,0.2754
151,0.686
152,0.4407
153,0.2475
154,0.1977
155,0.1958
156,0.1982
157,0.1962
158,0.2227
159,0.2185
160,0.2647
161,0.2958
162,0.3513
163,0.5635
164,0.4906
165,0.4191
166,0.4598
167,0.3242
168,0.2801
169,0.3469
170,0.3765
171,0.3823
172,0.3644
173,0.4893
174,0.7688
175,1.0668
176,0.6769
177,0.4651
178,0.2561
179,0.2367
180,0.2448
181,0.3856
182,0.4485
183,0.5958
184,0.658
185,0.3957
186,0.4441
187,0.31
188,0.26
189,0.197
190,0.2165
191,0.1821
192,0.1375
193,0.1337
194,0.1251
195,0.1291
196,0.1551
197,0.1799
198,0.3234
199,0.4272
200,0.3733
201,0.1989
202,0.1877
203,0.2238
204,0.1449
205,0.1626
206,0.1626
207,0.1611
208,0.1542
209,0.1581
210,0.1871
211,0.2116
212,0.1694
213,0.1598
214,0.1677
215,0.1741
216,0.2006
217,0.2329
218,0.2109
219,0.1883
220,0.1705
221,0.1867
222,0.3417
223,0.3625
224,0.3104
225,0.294
226,0.2404
227,0.163
228,0.1612
229,0.1649
230,0.16
231,0.1576
232,0.1661
233,0.1862
234,0.1705
235,0.1926
236,0.1868
237,0.1835
238,0.1728
239,0.224
240,0.1904
241,0.1834
242,0.1595
243,0.1649
244,0.1685
245,0.2221
246,0.2865
247,0.3616
248,0.2377
249,0.2089
250,0.1816
251,0.1677
252,0.1718
253,0.168
254,0.176
255,0.1695
256,0.1876
257,0.2074
258,0.1927
259,0.1812
260,0.1842
261,0.1914
262,0.1686
263,0.1571
264,0.0635
265,0.0667
266,0.0655
267,0.0818
268,0.0801
269,0.1637
270,0.2819
271,0.2119
272,0.2041
273,0.1606
274,0.1262
275,0.1242
276,0.1238
277,0.1227
278,0.0984
279,0.132
280,0.1433
281,0.2147
282,0.3012
283,0.4541
284,0.6486
285,0.5274
286,0.6473
287,0.6149
288,0.4932
289,0.404
290,0.3917
291,0.4161
292,0.3549
293,0.3877
294,0.4657
295,0.6433
296,0.7702
297,0.5349349999999999
298,0.3792
299,0.1721
300,0.1679
301,0.1712
302,0.2064
303,0.3324
304,0.3319
305,0.4685
306,0.5281
307,0.6331
308,0.6353
309,0.4917
310,0.5205
311,0.608
312,0.6593
313,0.5562
314,0.3904
315,0.3157
316,0.3361
317,0.4559
318,1.1886
319,1.6286
320,1.0275
321,0.5671
322,0.3819
323,0.2637
324,0.2587
325,0.5163
326,0.463
327,0.4337
328,0.4705
329,0.501
330,0.5827
331,0.9473
332,1.0519
333,0.9339
334,0.4856
335,0.6591
336,0.6119
337,0.5313
338,0.4723
339,0.3979
340,0.4637
341,0.5674
342,1.4688
343,1.4869
344,1.1773
345,0.7809
346,0.6649
347,0.4121
348,0.3619
349,0.4178
350,0.3472
351,0.3615
352,0.3776
353,0.3948
354,0.537
355,0.7125
356,0.7373
357,0.6081
358,0.5686
359,0.589
360,0.556
361,0.5057
362,0.4288
363,0.4335
364,0.527
365,0.6014
366,0.9318
367,1.2431
368,1.0371
369,0.4881
370,0.3639
371,0.2538
372,0.2228
373,0.2429
374,0.2823
375,0.2448
376,0.2485
377,0.2723
378,0.3067
379,0.3461
380,0.2944
381,0.3499
382,0.48
383,0.393
384,0.3655
385,0.352
386,0.3347
387,0.2997
388,0.3114
389,0.3214
390,0.4714
391,0.6223
392,0.497
393,0.2909
394,0.2376
395,0.2033
396,0.1541
397,0.1719
398,0.1766
399,0.1812
