Tiempo,Centro_de_Alto_Rendimiento_CO_pmm
1,1.14428140625
2,0.9785219879518072
3,0.5895199999999999
4,0.6114972839506173
5,1.0216486503067483
6,0.9760622891566265
7,0.8373971257485029
8,0.8458083233532934
9,0.8798122155688622
10,0.8786223952095809
11,0.9547195731707316
12,0.944924156626506
13,1.0797022023809524
14,0.8941868292682926
15,0.7737054320987654
16,0.8133468674698795
17,1.2506086746987952
18,0.7738783832335329
19,0.9297735928143712
20,1.37099
21,1.0365997530864197
22,1.1782769277108434
23,0.6868568518518519
24,0.8196585714285715
25,0.6792165217391304
26,0.8591720359281437
27,0.8737279861111111
28,0.6738706293706294
29,0.3411730722891566
30,0.3330742261904762
31,0.6892412195121952
32,0.8479561344537815
33,0.819403734939759
34,0.3417001290322581
35,0.6713001818181817
36,0.7935649645390072
37,0.7527683916083916
38,1.3735963917525775
39,1.1304034351145038
40,0.9529069677419355
41,0.7326285416666667
42,1.1337379754601227
43,1.068493780487805
44,0.9275388414634146
45,0.7304580357142857
46,1.5876104166666665
47,0.8459357051282052
48,1.2177775609756099
49,0.6157175449101797
50,1.1140564583333332
51,0.9615916265060241
52,1.061698313253012
