Tiempo,Kennedy_CO_pmm
1,0.7350476439790576
2,0.8019989634146341
3,0.8187604166666667
4,0.9648925454545454
5,0.8926977710843373
6,0.8732193452380953
7,0.7668630722891566
8,0.774561369047619
9,0.8891661077844311
10,0.8717372023809524
11,0.8586239880952381
12,0.7862283333333334
13,0.7916221084337349
14,0.8112394011976047
15,0.8675798214285715
16,0.9819914970059881
17,1.0100781547619047
18,0.8879292215568861
19,0.5964780357142857
20,0.7707784431137724
21,0.8116766467065869
22,0.8978483832335329
23,0.740873869047619
24,0.8095378571428572
25,0.7383235329341318
26,0.819388502994012
27,0.7682365476190476
28,0.7252739156626506
29,0.7681727108433736
30,0.8482812574850299
31,0.7863520833333333
32,0.7319003614457831
33,0.7453124404761905
34,0.7242226946107784
35,0.7691145833333334
36,0.7822269090909091
37,0.7879931137724552
38,0.7736113173652696
39,0.7669254819277108
40,0.7565201190476191
41,0.8009434523809524
42,0.7394547619047619
43,0.8394404166666667
44,0.7237463157894737
45,0.7953348214285715
46,0.9261295833333333
47,0.8262284523809523
48,0.7649077844311377
49,0.86911275
50,0.8549566071428572
51,0.7766877380952382
52,0.758081369047619
