,Kennedy_CO_pmm
0,1.2328
1,0.9761
2,0.9871
3,0.919
4,0.6328
5,0.7455
6,1.0149
7,0.7021
8,0.5653
9,0.5096
10,0.4733
11,0.4724
12,0.5756
13,0.6043
14,0.6567
15,0.6013
16,0.7154
17,0.7573
18,0.9786
19,0.8852
20,0.7188
21,0.6288
22,0.6144
23,0.519
24,0.517
25,0.5548
26,0.5851
27,0.5581
28,0.5962
29,0.7478
30,0.7636
31,1.0503
32,1.0129
33,0.7725
34,0.6948
35,0.7268
36,0.6351
37,0.7035
38,0.6603
39,0.774
40,0.7203
41,0.8716
42,1.1021
43,1.2788
44,1.33
45,1.261
46,1.1035
47,0.7681
48,0.6145
49,0.5331
50,0.5902
51,0.5233
52,0.6398
53,0.7138
54,0.797
55,1.1186
56,0.7529
57,0.684
58,0.6185
59,0.4935
60,0.5652
61,0.6326
62,0.5311
63,0.5516
64,0.5647
65,0.6185
66,0.6724
67,0.6516
68,0.6289
69,0.6785
70,0.6445
71,0.7723
72,0.8907
73,0.9527
74,0.7781
75,0.7941
76,0.8975
77,0.9553
78,1.3253
79,1.7598
80,1.5965
81,0.7857
82,0.5624
83,0.4638
84,0.5447
85,0.5283
86,0.547
87,0.5446
88,0.571
89,0.6871
90,0.7034
91,0.6643
92,0.6471
93,0.6392
94,0.5841
95,0.5137
96,0.5009
97,0.6485
98,1.0703
99,1.1339
100,1.1793
101,2.3912
102,1.951
103,1.7018
104,1.5845
105,1.05
106,0.47731500000000004
107,0.5992
108,0.6117
109,0.605
110,0.6275
111,0.6169
112,0.6336
113,0.764
114,1.0981
115,1.7048
116,1.5705
117,0.9983
118,0.7885
119,0.6332
120,0.5117
121,0.4556
122,0.5312
123,0.5941
124,0.7233
125,0.9229
126,1.3091
127,1.6943
128,1.6479
129,1.3024
130,0.6537
131,0.5414
132,0.7245
133,0.6642
134,0.6816
135,0.619
136,0.6328
137,0.6907
138,0.8189
139,1.0613
140,1.0692
141,0.7878
142,0.6679
143,0.5911
144,0.5421
145,0.5519
146,0.5485
147,0.7466
148,0.8688
149,1.1573
150,1.0045
151,1.089
152,1.3025
153,0.8618
154,0.7229
155,0.7151
156,0.774
157,0.7317
158,0.819
159,0.8831
160,0.9399
161,1.2076
162,1.3122
