,Puente_Aranda_CO_pmm
0,0.19581
1,0.37873
2,0.42099
3,0.34614
4,0.38748
5,0.32793
6,0.46648
7,0.39492
8,0.13969
9,0.09087
10,0.08991
11,0.10685
12,0.09679
13,0.14084
14,0.14265
15,0.13718
16,0.14724
17,0.17345
18,0.1648
19,0.22461
20,0.20571
21,0.1876
22,0.19876
23,0.13514
24,0.11166
25,0.09019
26,0.08181
27,0.12671
28,0.16387
29,0.27449
30,0.40623
31,0.3423
32,0.33141
33,0.22159
34,0.17765
35,0.16783
36,0.17441
37,0.18113
38,0.21195
39,0.19486
40,0.24259
41,0.3548
42,0.35893
43,0.31731
44,0.27074
45,0.22625
46,0.2855
47,0.22207
48,0.21243
49,0.30435
50,0.27756
51,0.1411
52,0.13625
53,0.27541
54,0.39937
55,0.58354
56,0.38976
57,0.32904
58,0.26035
59,0.31219
60,0.29339
61,0.27145
62,0.32023
63,0.32166
64,0.32721
65,0.42466
66,0.56945
67,0.48568
68,0.40817
69,0.62416
70,0.5971
71,0.60234
72,0.4461
73,0.28954
74,0.28998
75,0.43629
76,0.64623
77,1.03486
78,1.38581
79,1.09909
80,1.41389
81,0.90061
82,0.72687
83,0.344
84,0.23566
85,0.28604
86,0.29422
87,0.4037
88,0.3933
89,0.64373
90,0.94123
91,0.93253
92,0.7817
93,0.69827
94,0.6557
95,0.56017
96,0.97857
97,0.8354
98,0.52276
99,0.55781
100,0.74319
101,1.54649
102,2.23005
103,2.04047
104,1.25618
105,1.14924
106,0.67381
107,0.37331
108,0.30474
109,0.24251
110,0.38433
111,0.40521
112,0.30184
113,0.49117
114,0.90588
115,0.6747
116,0.58998
117,0.49729
118,0.3907
119,0.3313
120,0.29475
121,0.34405
122,0.41041
123,0.37902
124,0.27554
125,0.30678
126,0.64424
127,0.72035
128,0.49437
129,0.45826
130,0.32973
131,0.42334
132,0.36197
133,0.32602
134,0.3483
135,0.41253
136,0.82193
137,0.58395
138,0.55149
139,0.66214
140,0.93702
141,0.61918
142,0.50757
143,0.41882
144,0.35084
145,0.4047
146,0.40067
147,0.53499
148,0.54934
149,0.86853
150,0.88792
151,0.97415
152,0.88116
153,0.96019
154,0.60446
155,0.25175
156,0.20903
157,0.23295
158,0.34117
159,0.36046
160,0.38921
161,0.44557
162,0.40924
163,0.29438
164,0.44334
165,0.53034
166,0.42671
167,0.28323
168,0.17906
169,0.21674
170,0.26221
171,0.26288
172,0.34337
173,0.58723
174,0.9216
175,2.63464
176,1.81414
177,1.26403
178,0.70991
179,0.38513
180,0.25972
181,0.27564
182,0.35342
183,0.30171
184,0.33569
185,0.41311
186,0.45502
187,0.3921
188,0.37284
189,0.42445
190,0.46422
191,0.31419
192,0.27481
193,0.24918
194,0.28899
195,0.35637
196,0.53523
197,0.87291
198,1.48712
199,1.31157
200,1.07113
201,0.95967
202,0.41466
203,0.28712
204,0.28269
205,0.647145
206,0.40861
207,0.38876
208,0.44684
209,0.5595
210,0.65195
211,0.6089
212,0.41644
213,0.43502
214,0.34776
215,0.44956
216,0.29293
217,0.17896
218,0.17016
219,0.20197
220,0.25004
221,0.48719
222,0.63928
223,0.68171
224,0.49273
225,0.4488
226,0.32346
227,0.30264
228,0.33023
229,0.35476
230,0.35745
231,0.27519
232,0.32819
233,0.72561
234,0.53185
235,0.5083
236,0.42071
237,0.34006
238,0.28069
239,0.30717
240,0.30427
241,0.22687
242,0.20761
243,0.26494
244,0.33649
245,0.618
246,1.1907
247,1.84445
248,1.65525
249,1.11931
250,0.66681
251,0.59025
252,0.70707
253,0.49478
254,0.47133
255,0.39627
256,0.40754
257,0.69791
258,0.86431
259,1.15668
260,0.86156
261,1.1052
262,1.38406
263,0.5608
264,0.58798
265,0.51608
266,0.68623
267,0.72723
268,0.9332
269,2.08829
270,2.61423
271,2.16666
272,1.55458
273,1.05969
274,1.15981
275,0.76464
276,0.43898
277,0.50836
278,0.47855
279,0.46837
280,0.46856
281,0.60742
282,0.87978
283,0.89301
284,0.75514
285,0.72849
286,0.63422
287,0.51083
288,0.37999
289,0.3667
290,0.34784
291,0.49713
292,0.41631
293,0.56567
294,0.83726
295,0.68707
296,0.44901
297,0.24547
298,0.26559
299,0.29313
300,0.38545
301,0.43233
302,0.47136
303,0.42393
304,0.42657
305,0.51581
306,0.58491
307,1.04811
308,0.93405
309,0.74287
310,0.74897
311,0.69878
312,0.46798
313,0.38357
314,0.38331
315,0.30257
316,0.31564
317,0.575
318,0.9063
319,0.89368
320,0.82758
321,0.42629
322,0.45956
323,0.47323
324,0.48585
325,0.47283
326,0.53746
327,0.61873
328,0.64512
329,0.8405
330,1.36144
331,0.99596
332,0.84755
333,0.68942
334,0.72124
335,0.57816
336,0.41106
337,0.37729
338,0.3755
339,0.34731
340,0.51574
341,0.75
342,2.28951
343,1.8797
344,1.36199
345,0.82268
346,0.68395
347,0.53353
348,0.48995
349,0.62174
350,0.57371
351,0.57422
352,0.60421
353,0.75143
354,1.03971
355,0.99945
356,0.99275
357,0.71443
358,0.54871
359,0.46301
360,0.4608
361,0.43105
362,0.39848
363,0.46505
364,0.38516
365,0.80089
366,1.75622
367,1.59487
368,0.80483
369,0.54426
370,0.58655
371,0.57716
372,0.67506
373,0.77975
374,0.65477
375,0.51238
376,0.54342
377,0.87806
378,1.30469
379,1.16968
380,1.15823
381,0.98304
382,0.74541
383,0.58129
384,0.56744
385,0.82878
386,0.73362
387,0.8344
388,0.62188
389,0.86048
390,1.67702
391,1.99732
392,0.83044
393,0.53804
394,0.49878
395,
396,0.33648500000000003
397,0.44804
398,0.43155
399,0.33916
400,0.47534
401,0.74358
402,0.8944
403,1.36057
404,0.66909
405,0.61979
406,0.5156
407,0.34956
408,0.37251
409,0.27781
410,0.37289
411,0.37307
412,0.44636
413,1.36933
414,1.75599
415,1.47732
416,0.97104
417,0.81466
418,0.52983
419,0.4811
420,0.46745
421,0.45907
422,0.45666
423,0.42258
424,0.50043
425,0.71211
426,0.81954
427,0.82174
428,0.67596
429,0.42499
430,0.89384
431,0.95832
432,0.70837
433,0.66496
434,0.46603
435,0.49457
436,0.65756
437,1.33354
438,1.62546
439,1.71427
440,1.11561
441,0.82904
442,0.43099
443,0.452
444,0.4203
445,0.44063
446,0.46484
447,0.47288
448,0.57503
449,0.55207
450,0.57568
451,0.70007
452,0.56842
453,0.54795
454,0.59897
455,0.45941
456,0.41749
457,0.35969
458,0.55355
459,0.52453
460,0.54822
461,0.68441
462,1.15864
463,0.55998
464,0.30393
465,0.30504
466,0.32725
467,0.34141
468,0.37058
469,0.46146
470,0.4579
471,0.5504
472,0.52026
473,0.50739
474,0.63485
475,0.66594
476,0.59863
477,0.63902
478,0.54209
479,0.6876
480,0.79308
481,0.88931
482,0.89064
483,0.5678
484,0.6605
485,1.26029
486,1.98038
487,2.25309
488,2.22529
489,1.76444
490,0.55924
491,0.41811
492,0.53445
493,0.58743
494,0.59558
495,0.54005
496,0.51727
497,0.91504
498,1.38953
499,1.30275
500,1.21205
501,0.65832
502,0.45059
503,0.43992
504,0.27843
505,0.27906
506,0.26621
507,0.3067
508,0.55478
509,0.88821
510,1.51201
511,1.776
512,1.08161
513,0.67103
514,0.64575
515,0.675465
516,0.55737
517,0.5623
518,0.50906
519,0.51017
520,0.56218
521,0.71313
522,0.88729
523,0.79597
524,0.76355
525,0.68372
526,0.63212
527,0.39169
