Tiempo,Usaquen_CO_pmm
1,0.7639244047619048
2,0.5012095
3,0.23175624999999997
4,0.21717285714285714
5,0.6871652083333334
6,0.8499946527777777
7,0.5184599305555556
8,0.6725092261904762
9,0.6442098611111111
10,0.733039375
11,0.7626967361111111
12,1.2319011904761905
13,1.2478770238095238
14,0.6775857692307692
15,0.7212513333333334
16,0.8895924404761905
17,0.7577883928571428
18,0.6760071428571428
19,0.5682446666666666
20,0.5475199404761905
21,0.7429485714285714
22,0.7316346428571429
23,0.6779194642857144
24,0.5398458333333332
25,0.5518347023809523
26,0.6400902976190476
27,0.5749129166666667
28,0.40465208333333336
29,0.3312682738095238
30,0.3977377380952381
31,0.5778238690476191
32,0.50654425
33,0.7621134523809523
34,0.6522240476190476
35,0.718592303030303
36,0.564838630952381
37,0.7167547058823529
38,
39,
40,0.7148528472222222
41,0.46826875
42,
43,
44,0.5519631944444444
45,0.6207868055555555
46,0.5945179220779221
47,0.476148
48,0.5204192261904762
49,0.594038869047619
50,0.6633978333333334
51,0.3567122916666667
52,0.5175979012345678
