,Tunal_CO_pmm
0,1.2289
1,1.2843
2,1.2745
3,0.4881
4,0.3904
5,0.4836
6,0.6574
7,0.4867
8,0.4048
9,0.3277
10,0.3647
11,0.3904
12,0.4014
13,0.4381
14,0.426
15,0.4244
16,0.4654
17,0.4988
18,0.501
19,0.447
20,0.4245
21,0.4584
22,0.3854
23,0.3732
24,0.3422
25,0.3198
26,0.3229
27,0.5189
28,0.5363
29,0.9491
30,1.0617
31,1.2038
32,0.6457
33,0.4103
34,0.4369
35,0.4479
36,0.4684
37,0.4455
38,0.4359
39,0.4466
40,0.4539
41,0.4387
42,0.5443
43,0.5691
44,0.5289
45,0.5127
46,0.4794
47,0.424
48,0.365
49,0.3414
50,0.3208
51,0.319
52,0.355
53,0.4958
54,0.5065
55,0.5879
56,0.5781
57,0.6724
58,0.5914
59,0.6576
60,0.6046
61,0.5746
62,0.5608
63,0.5593
64,0.6133
65,0.6926
66,0.695
67,0.6271
68,0.6053
69,0.5853
70,0.5852
71,0.55
72,0.5331
73,0.3685
74,0.327
75,0.3567
76,0.4109
77,0.4952
78,0.9378
79,1.5462
80,1.4639
81,1.3078
82,0.8625
83,0.5911
84,0.6103
85,0.6036
86,0.612
87,0.5976
88,0.6902
89,0.8364
90,1.0867
91,0.9072
92,0.7211
93,0.7776
94,0.6395
95,0.5446
96,0.552
97,0.4359
98,0.3542
99,0.3769
100,0.4409
101,0.8208
102,0.7745
103,1.4514
104,1.6851
105,1.3201
106,1.0332
107,0.8387
108,0.701
109,0.6924
110,0.6772
111,0.6887
112,0.7663
113,1.2353
114,1.1635
115,1.0677
116,0.8678
117,1.1839
118,1.1411
119,0.9783
120,0.7165
121,0.6858
122,0.6302
123,0.5632
124,0.5787
125,0.6619
126,0.9355
127,0.9143
128,0.9841
129,0.7756
130,0.4691
131,0.4901
132,0.5143
133,0.6288
134,0.8324
135,0.8084
136,0.8488
137,0.8899
138,0.9511
139,1.014
140,0.5413
141,0.4884
142,0.8663
143,0.6971
144,0.6163
145,0.402
146,0.368
147,0.3609
148,0.3893
149,0.521
150,1.1766
151,1.1985
152,0.581
153,0.541
154,0.5594
155,0.5387
156,0.5544
157,0.6333
158,0.639
159,0.5691
160,0.604
161,0.5872
162,0.5994
163,0.5842
164,0.702
165,0.8157
166,1.1466
167,0.7817
168,0.5652
169,0.4616
170,0.4274
171,0.5229
172,0.604
173,0.7464
174,1.3415
175,1.6154
176,1.6528
177,1.2739
178,0.5589
179,0.4243
180,0.4069
181,0.7261
182,0.8923
183,0.7945
184,0.5433
185,0.5107
186,0.55
187,0.5977
188,0.5849
189,0.5125
190,0.4742
191,0.4173
192,0.3867
193,0.3781
194,0.3633
195,0.383
196,0.5269
197,1.3055
198,1.3193
199,1.5844
200,1.4108
201,0.6095
202,0.4317
203,0.4706
204,0.4768
205,0.4905
206,0.4904
207,0.5123
208,0.5094
209,0.5725
210,0.5232
211,0.5568
212,0.545
213,0.58
214,0.5252
215,0.4684
216,0.4477
217,0.4182
218,0.4399
219,0.4734
220,0.554
221,0.5662
222,0.4884
223,0.5414
224,0.4369
225,0.4204
226,0.4805
227,0.4638
228,0.4702
229,0.4556
230,0.4874
231,0.4703
