,Puente_Aranda_CO_pmm
455,0.3033
456,0.1674
457,0.18604
458,0.11657
459,0.12235
460,0.14007
461,0.31477
462,0.34659
463,0.47281
464,0.30787
465,0.22423
466,0.20717
467,0.2028
468,0.26247
469,0.26082
470,0.27971
471,0.49064
472,0.49028
473,0.33273
474,0.67886
475,0.61443
476,0.58757
477,0.41205
478,0.56037
479,0.59074
480,0.4042
481,0.42097
482,0.15739
483,0.1886
484,0.19173
485,0.22864
486,0.67356
487,0.26183
488,0.10305
489,0.1096
490,0.16189
491,0.15847
492,0.16338
493,0.19987
494,0.24019
495,0.27059
496,0.37272
497,0.44074
498,0.41615
499,0.27329
500,0.61895
501,0.57024
502,0.57454
503,0.69855
504,0.44009
505,0.32267
506,0.23662
507,0.22919
508,0.37085
509,0.97418
510,1.28604
511,1.35697
512,0.75129
513,0.42529
514,0.30523
515,0.28003
516,0.30462
517,0.28623
518,0.28226
519,0.32121
520,0.43309
521,0.70574
522,0.86236
523,1.05404
524,1.103
525,0.84677
526,0.88419
527,0.91791
528,0.51056
529,0.5487
530,0.64236
531,0.68857
532,0.51864
533,1.21289
534,1.09119
535,0.73282
536,0.49167
537,0.36478
538,0.36485
539,0.37029
540,0.39204
541,0.35183
542,0.49404
543,0.4426
544,0.60421
545,0.79195
546,1.07986
547,1.20433
548,0.8452
549,0.82132
550,1.19687
551,1.07002
552,1.1666
553,0.70652
554,0.36675
555,0.45378
556,0.87441
557,1.71531
558,2.29359
559,3.10006
560,1.84188
561,0.36939
562,0.31626
563,0.30743
564,0.28591
565,0.35316
566,0.35704
567,0.41005
568,0.46406
569,0.67783
570,0.87606
571,0.88825
572,0.75915
573,0.87053
574,0.85286
575,0.77436
576,1.01219
577,0.73895
578,0.69687
579,0.37523
580,0.70783
581,1.80129
582,1.85391
583,2.84286
584,1.17789
585,0.39839
586,0.37502
587,0.3484
588,0.36697
589,0.40903
590,0.42824
591,0.48179
592,0.54451
593,0.66164
594,0.781
595,1.2044
596,0.71386
597,1.0059
598,0.9138
599,0.75459
600,0.62989
601,0.76744
602,0.67016
603,0.68385
604,0.9756
605,1.33399
606,2.16008
607,2.57048
608,1.7358
609,0.94675
610,0.85871
611,0.44003
612,0.3894
613,0.38812
614,0.37949
615,0.75356
616,0.73861
617,0.87526
618,1.21655
619,1.23603
620,1.50901
621,0.90711
622,0.79145
623,0.77449
624,0.61818
625,1.1973
626,1.03591
627,1.02146
628,1.16462
629,1.59263
630,3.12951
631,3.0107
632,1.43789
633,0.56402
634,0.28457
635,0.2899
636,0.66688
637,0.60807
638,0.57218
639,0.48603
640,0.45177
641,0.47859
642,0.70055
643,0.86267
644,0.7565
645,0.57738
646,0.50175
647,0.50118
648,0.48935
649,0.34412
650,0.44045
651,0.50465
652,0.36029
653,0.63928
654,1.03148
655,0.98627
656,0.95403
657,0.32718
658,0.28679
659,0.19897
660,0.17077
661,0.34679
662,0.50307
663,0.36697
664,0.29039
665,0.37987
666,0.43424
667,0.46457
668,0.63187
669,0.73688
670,0.53996
671,0.39989
672,0.29684
673,0.32479
674,0.25157
675,0.50031
676,0.53938
677,1.2603
678,3.46517
679,3.98681
680,1.6929
681,1.24557
682,0.33939
683,0.2881
684,0.29943
685,0.23804
686,0.26585
687,0.29512
688,0.34879
689,0.69405
690,0.91789
691,0.91988
692,0.70733
693,0.61941
694,0.49596
695,0.56137
696,0.37668
697,0.30108
698,0.352
699,0.33421
700,0.55939
701,1.06647
702,2.85131
703,3.34452
704,3.64819
705,2.56528
706,1.37059
707,0.3355
708,0.29982
709,0.3836
710,0.60688
711,0.44961
712,0.44456
713,0.57334
714,0.94679
715,0.93588
716,0.90768
717,0.83629
718,0.63583
719,0.6342
720,0.55327
721,0.5016
722,0.58867
723,0.67133
724,1.06376
725,1.85703
726,2.86022
727,3.09452
728,3.2706
729,1.25947
730,0.27466
731,0.29234
732,0.28952
733,0.26004
734,0.32852
735,0.33221
736,0.41732
737,0.62937
738,0.80758
739,1.26488
740,1.34717
741,1.12901
742,1.05372
743,0.83764
744,0.98378
745,0.84639
746,0.64494
747,0.60879
748,1.01444
749,1.80899
750,1.99094
751,2.56914
752,1.72998
753,0.98837
754,0.59604
755,0.63767
756,0.53794
757,0.41008
758,0.38669
759,0.40264
760,0.44982
761,0.59726
762,0.64875
763,0.69919
764,0.94435
765,1.00291
766,0.79023
767,0.67728
768,0.62331
769,0.48278
770,0.59902
771,0.6252
772,0.51878
773,0.83653
774,1.67364
775,1.28231
776,1.27055
777,1.04784
778,0.70852
779,0.60121
780,0.55199
781,0.54884
782,0.79738
783,1.51899
784,1.02841
785,0.91619
786,1.02005
787,0.98832
788,1.08946
789,0.9756
790,1.10676
791,1.4154
792,1.10009
793,1.03097
794,0.95066
795,0.89192
796,1.08095
797,1.68629
798,1.84688
799,2.45554
800,2.24973
801,1.42277
802,0.67542
803,0.53418
804,0.95995
805,0.83412
806,0.76936
807,0.78491
808,0.89473
809,0.7636
810,0.7973
811,0.74007
812,0.91699
813,0.80409
814,0.55688
815,0.59776
816,0.45367
817,0.48904
818,0.56749
819,0.4326
820,0.4559
821,0.51251
822,0.62512
823,0.83968
824,0.68895
825,0.71308
826,0.59667
827,0.54052
828,0.50614
829,0.59012
830,0.51775
831,0.51483
832,0.58879
833,0.61966
834,0.74909
835,0.85066
836,1.02923
837,0.96328
838,0.90336
839,0.58311
840,0.4826
841,0.40364
842,0.34412
843,0.39976
844,0.52618
845,0.97292
846,2.14868
847,1.85138
848,1.7545
849,1.238
850,1.18983
851,0.67062
852,0.57103
853,0.53357
854,0.57205
855,0.5509
856,0.69318
857,0.69285
858,0.67249
859,0.79003
860,0.70415
861,0.65478
862,0.69101
863,0.59167
864,0.69027
865,0.55618
866,0.4803
867,0.39383
868,0.55166
869,1.01039
870,1.56515
871,2.25217
872,2.24758
873,1.70211
874,0.74725
875,0.76143
876,0.90466
877,0.74549
878,0.66632
879,0.65708
880,0.68172
881,0.91487
882,1.03072
883,1.53849
884,0.9763
885,0.64429
886,0.9876
887,0.88147
888,0.5779
889,0.45671
890,0.54105
891,0.52167
892,0.5237
893,0.96301
894,1.3126
895,1.5434
896,1.57566
897,1.22863
898,0.90874
899,0.61992
900,0.34602
901,0.33863
902,0.4749
903,0.48661
904,0.59496
905,0.78141
906,0.93234
907,0.84236
908,0.63736
909,0.66602
910,0.46689
911,0.538
912,0.45972
913,0.45026
914,0.52078
915,0.55659
916,0.65519
917,1.35653
918,2.30078
919,3.16639
920,2.6009
921,1.18716
922,0.42898
923,0.40536
924,0.32881
925,0.37812
926,0.44028
927,0.43354
928,0.5251
929,0.82679
930,0.92263
931,0.93498
932,0.84363
933,0.61112
934,0.59907
935,0.57994
936,0.44084
937,0.40481
938,0.32871
939,0.30802
940,0.3364
941,0.72283
942,1.05647
943,1.09676
944,0.63927
945,0.57915
946,0.52144
947,0.5015
948,0.48967
949,0.48414
950,0.64332
951,0.74037
952,0.67152
953,0.95315
954,1.2394
955,0.89177
956,0.83215
957,0.78597
958,0.73701
959,0.51502
960,0.43705
961,0.49542
962,0.46673
963,0.42141
964,0.47817
965,0.53038
966,0.73716
967,1.25459
968,0.77936
969,0.50411
970,0.41929
971,0.33395
972,0.34762
973,0.32867
974,0.4887
975,0.51483
976,0.52471
977,0.60854
978,0.7018
979,0.67546
980,0.59438
981,0.57958
982,0.55126
983,0.50826
984,0.62361
985,0.47709
986,0.60162
987,0.64218
988,0.6755
989,0.72944
990,1.25973
991,0.8186
992,0.50862
993,0.2571
994,0.2662
995,0.2898
996,0.51872
997,0.57093
998,0.43523
999,0.43401
1000,0.4147
1001,0.4968
1002,0.54608
1003,0.58564
1004,0.55886
